"","0","1","p","test"
"n","800","320","",""
"gp_size (mean (SD))","7988.50 (3991.80)","7839.82 (4009.96)","0.574",""
"male (mean (SD))","3930.41 (1953.08)","3847.06 (1961.28)","0.519",""
"edu_3rd (mean (SD))","964.36 (503.34)","948.71 (527.44)","0.643",""
"age_5 (mean (SD))","1263.95 (702.09)","1202.32 (686.42)","0.182",""
"age_15 (mean (SD))","860.21 (477.49)","840.43 (486.94)","0.534",""
"age_75plus (mean (SD))","801.40 (378.83)","765.98 (358.24)","0.152",""
"ch_nb (mean (SD))","94.37 (58.79)","92.48 (58.77)","0.626",""
